Category: All categories

Day,zoom: (United States)
2019-11-24,3
2019-11-25,3
2019-11-26,4
2019-11-27,3
2019-11-28,3
2019-11-29,3
2019-11-30,3
2019-12-01,3
2019-12-02,4
2019-12-03,4
2019-12-04,4
2019-12-05,4
2019-12-06,4
2019-12-07,4
2019-12-08,3
2019-12-09,4
2019-12-10,4
2019-12-11,4
2019-12-12,4
2019-12-13,4
2019-12-14,3
2019-12-15,3
2019-12-16,4
2019-12-17,4
2019-12-18,4
2019-12-19,4
2019-12-20,3
2019-12-21,3
2019-12-22,3
2019-12-23,3
2019-12-24,3
2019-12-25,3
2019-12-26,3
2019-12-27,3
2019-12-28,3
2019-12-29,3
2019-12-30,3
2019-12-31,3
2020-01-01,2
2020-01-02,3
2020-01-03,4
2020-01-04,3
2020-01-05,3
2020-01-06,4
2020-01-07,4
2020-01-08,4
2020-01-09,4
2020-01-10,4
2020-01-11,3
2020-01-12,3
2020-01-13,4
2020-01-14,4
2020-01-15,4
2020-01-16,5
2020-01-17,4
2020-01-18,3
2020-01-19,3
2020-01-20,4
2020-01-21,5
2020-01-22,5
2020-01-23,4
2020-01-24,4
2020-01-25,3
2020-01-26,3
2020-01-27,4
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,3
2020-02-02,3
2020-02-03,4
2020-02-04,5
2020-02-05,4
2020-02-06,5
2020-02-07,4
2020-02-08,3
2020-02-09,3
2020-02-10,4
2020-02-11,4
2020-02-12,4
2020-02-13,5
2020-02-14,4
2020-02-15,3
2020-02-16,3
2020-02-17,4
2020-02-18,5
2020-02-19,4
2020-02-20,4
2020-02-21,4
2020-02-22,3
2020-02-23,3
2020-02-24,5
2020-02-25,4
2020-02-26,5
2020-02-27,5
2020-02-28,5
2020-02-29,4
2020-03-01,3
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,5
2020-03-06,5
2020-03-07,4
2020-03-08,4
2020-03-09,7
2020-03-10,9
2020-03-11,11
2020-03-12,15
2020-03-13,17
2020-03-14,12
2020-03-15,14
2020-03-16,32
2020-03-17,38
2020-03-18,47
2020-03-19,52
2020-03-20,54
2020-03-21,40
2020-03-22,48
2020-03-23,84
2020-03-24,85
2020-03-25,84
2020-03-26,85
2020-03-27,82
2020-03-28,59
2020-03-29,62
2020-03-30,95
2020-03-31,96
2020-04-01,100
2020-04-02,97
2020-04-03,97
2020-04-04,64
2020-04-05,63
2020-04-06,84
2020-04-07,83
2020-04-08,80
2020-04-09,77
2020-04-10,63
2020-04-11,51
2020-04-12,64
2020-04-13,64
2020-04-14,70
2020-04-15,71
2020-04-16,70
2020-04-17,64
2020-04-18,46
2020-04-19,44
2020-04-20,59
2020-04-21,64
2020-04-22,66
2020-04-23,67
2020-04-24,58
2020-04-25,39
2020-04-26,40
2020-04-27,55
2020-04-28,58
2020-04-29,60
2020-04-30,56
2020-05-01,51
2020-05-02,33
2020-05-03,34
2020-05-04,47
2020-05-05,50
2020-05-06,52
2020-05-07,52
2020-05-08,46
2020-05-09,29
2020-05-10,30
2020-05-11,43
2020-05-12,48
2020-05-13,50
2020-05-14,48
2020-05-15,42
2020-05-16,26
2020-05-17,33
2020-05-18,40
2020-05-19,42
2020-05-20,43
2020-05-21,42
2020-05-22,34
