Category: All categories

Day,facetime: (United States)
2019-11-24,14
2019-11-25,13
2019-11-26,14
2019-11-27,12
2019-11-28,18
2019-11-29,15
2019-11-30,14
2019-12-01,16
2019-12-02,11
2019-12-03,12
2019-12-04,11
2019-12-05,12
2019-12-06,13
2019-12-07,15
2019-12-08,14
2019-12-09,10
2019-12-10,12
2019-12-11,12
2019-12-12,11
2019-12-13,12
2019-12-14,13
2019-12-15,14
2019-12-16,15
2019-12-17,13
2019-12-18,12
2019-12-19,12
2019-12-20,12
2019-12-21,16
2019-12-22,16
2019-12-23,14
2019-12-24,19
2019-12-25,38
2019-12-26,24
2019-12-27,18
2019-12-28,19
2019-12-29,17
2019-12-30,17
2019-12-31,16
2020-01-01,17
2020-01-02,13
2020-01-03,13
2020-01-04,15
2020-01-05,15
2020-01-06,12
2020-01-07,12
2020-01-08,11
2020-01-09,11
2020-01-10,13
2020-01-11,16
2020-01-12,15
2020-01-13,12
2020-01-14,12
2020-01-15,12
2020-01-16,12
2020-01-17,12
2020-01-18,15
2020-01-19,16
2020-01-20,16
2020-01-21,13
2020-01-22,11
2020-01-23,12
2020-01-24,12
2020-01-25,17
2020-01-26,13
2020-01-27,10
2020-01-28,10
2020-01-29,11
2020-01-30,11
2020-01-31,10
2020-02-01,14
2020-02-02,14
2020-02-03,11
2020-02-04,12
2020-02-05,11
2020-02-06,12
2020-02-07,13
2020-02-08,16
2020-02-09,15
2020-02-10,13
2020-02-11,11
2020-02-12,11
2020-02-13,11
2020-02-14,12
2020-02-15,15
2020-02-16,15
2020-02-17,16
2020-02-18,11
2020-02-19,10
2020-02-20,12
2020-02-21,11
2020-02-22,14
2020-02-23,16
2020-02-24,12
2020-02-25,12
2020-02-26,11
2020-02-27,11
2020-02-28,11
2020-02-29,15
2020-03-01,16
2020-03-02,11
2020-03-03,11
2020-03-04,11
2020-03-05,10
2020-03-06,11
2020-03-07,14
2020-03-08,14
2020-03-09,13
2020-03-10,12
2020-03-11,14
2020-03-12,16
2020-03-13,22
2020-03-14,28
2020-03-15,33
2020-03-16,42
2020-03-17,55
2020-03-18,70
2020-03-19,73
2020-03-20,83
2020-03-21,100
2020-03-22,99
2020-03-23,75
2020-03-24,79
2020-03-25,77
2020-03-26,79
2020-03-27,81
2020-03-28,94
2020-03-29,83
2020-03-30,67
2020-03-31,71
2020-04-01,68
2020-04-02,70
2020-04-03,74
2020-04-04,87
2020-04-05,80
2020-04-06,56
2020-04-07,57
2020-04-08,60
2020-04-09,63
2020-04-10,67
2020-04-11,70
2020-04-12,96
2020-04-13,52
2020-04-14,49
2020-04-15,47
2020-04-16,46
2020-04-17,50
2020-04-18,54
2020-04-19,50
2020-04-20,41
2020-04-21,44
2020-04-22,42
2020-04-23,43
2020-04-24,45
2020-04-25,45
2020-04-26,47
2020-04-27,35
2020-04-28,36
2020-04-29,41
2020-04-30,37
2020-05-01,38
2020-05-02,37
2020-05-03,39
2020-05-04,31
2020-05-05,30
2020-05-06,33
2020-05-07,33
2020-05-08,34
2020-05-09,37
2020-05-10,45
2020-05-11,35
2020-05-12,31
2020-05-13,28
2020-05-14,33
2020-05-15,29
2020-05-16,27
2020-05-17,31
2020-05-18,26
2020-05-19,27
2020-05-20,27
2020-05-21,27
2020-05-22,25
