Category: All categories

Day,suicide hotline: (United States)
2019-11-24,60
2019-11-25,65
2019-11-26,84
2019-11-27,76
2019-11-28,56
2019-11-29,47
2019-11-30,45
2019-12-01,55
2019-12-02,67
2019-12-03,66
2019-12-04,55
2019-12-05,74
2019-12-06,65
2019-12-07,59
2019-12-08,54
2019-12-09,53
2019-12-10,67
2019-12-11,81
2019-12-12,98
2019-12-13,100
2019-12-14,79
2019-12-15,77
2019-12-16,89
2019-12-17,91
2019-12-18,78
2019-12-19,66
2019-12-20,76
2019-12-21,56
2019-12-22,66
2019-12-23,84
2019-12-24,75
2019-12-25,60
2019-12-26,58
2019-12-27,89
2019-12-28,61
2019-12-29,55
2019-12-30,76
2019-12-31,64
2020-01-01,88
2020-01-02,68
2020-01-03,78
2020-01-04,56
2020-01-05,77
2020-01-06,60
2020-01-07,77
2020-01-08,99
2020-01-09,51
2020-01-10,61
2020-01-11,60
2020-01-12,65
2020-01-13,49
2020-01-14,71
2020-01-15,80
2020-01-16,82
2020-01-17,74
2020-01-18,56
2020-01-19,69
2020-01-20,47
2020-01-21,75
2020-01-22,83
2020-01-23,86
2020-01-24,88
2020-01-25,69
2020-01-26,65
2020-01-27,66
2020-01-28,66
2020-01-29,86
2020-01-30,76
2020-01-31,69
2020-02-01,52
2020-02-02,70
2020-02-03,90
2020-02-04,72
2020-02-05,68
2020-02-06,72
2020-02-07,60
2020-02-08,66
2020-02-09,71
2020-02-10,64
2020-02-11,75
2020-02-12,86
2020-02-13,93
2020-02-14,69
2020-02-15,74
2020-02-16,66
2020-02-17,67
2020-02-18,76
2020-02-19,71
2020-02-20,61
2020-02-21,73
2020-02-22,59
2020-02-23,79
2020-02-24,66
2020-02-25,93
2020-02-26,70
2020-02-27,85
2020-02-28,83
2020-02-29,57
2020-03-01,63
2020-03-02,83
2020-03-03,72
2020-03-04,62
2020-03-05,61
2020-03-06,68
2020-03-07,45
2020-03-08,61
2020-03-09,66
2020-03-10,84
2020-03-11,88
2020-03-12,64
2020-03-13,54
2020-03-14,63
2020-03-15,71
2020-03-16,56
2020-03-17,64
2020-03-18,73
2020-03-19,72
2020-03-20,57
2020-03-21,42
2020-03-22,70
2020-03-23,64
2020-03-24,64
2020-03-25,64
2020-03-26,65
2020-03-27,66
2020-03-28,49
2020-03-29,55
2020-03-30,61
2020-03-31,84
2020-04-01,61
2020-04-02,65
2020-04-03,72
2020-04-04,49
2020-04-05,50
2020-04-06,78
2020-04-07,75
2020-04-08,55
2020-04-09,75
2020-04-10,64
2020-04-11,55
2020-04-12,68
2020-04-13,75
2020-04-14,69
2020-04-15,69
2020-04-16,57
2020-04-17,61
2020-04-18,47
2020-04-19,65
2020-04-20,83
2020-04-21,59
2020-04-22,84
2020-04-23,73
2020-04-24,92
2020-04-25,63
2020-04-26,53
2020-04-27,70
2020-04-28,81
2020-04-29,76
2020-04-30,71
2020-05-01,80
2020-05-02,60
2020-05-03,48
2020-05-04,79
2020-05-05,53
2020-05-06,75
2020-05-07,75
2020-05-08,68
2020-05-09,54
2020-05-10,81
2020-05-11,79
2020-05-12,80
2020-05-13,61
2020-05-14,55
2020-05-15,69
2020-05-16,71
2020-05-17,54
2020-05-18,68
2020-05-19,61
2020-05-20,69
2020-05-21,82
2020-05-22,59
